node_id,name,scientific_name,taste,energy,post_digestive_effect,primary_dosha_balance,secondary_dosha_balance,region,properties,uses,contraindications,medicine_forms,rasa,guna,virya,vipaka,prabhava,reduces_vata,reduces_pitta,reduces_kapha,anti_inflammatory,analgesic,carminative,antimicrobial,antioxidant,hepatoprotective,anxiolytic,antipyretic,alkaloids,flavonoids,terpenoids,phenols,tannins,saponins,glycosides,lignans,sterols,coumarins,dosha_vata,dosha_pitta,dosha_kapha
445,Bibhitaki — Mountain,Terminalia bellirica,Pungent,Cold,Bitter,Kapha,All,Assam,Antimicrobial,Female reproductive health,Pregnancy,Vati (tablets),Pungent,"Cloudy,Rough,Clear",Hot,Pungent,Demulcent,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,-3
446,Bibhitaki — Coastal,Terminalia bellirica,Salty,Warm,Sweet,Pitta,All,India,Hepatoprotective,Arthritis,Pregnancy,Churna (powder),Salty,"Mobile,Sticky",Cold,Sweet,Analgesic,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,-2,3
447,Bibhitaki — Indian,Terminalia bellirica,Sweet,Cool,Sour,All,All,Uttar Pradesh,Digestive stimulant,Liver disorders,Pitta excess,Vati (tablets),Sweet,"Light,Soft",Cold,Sweet,Galactagogue,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,-2,-3,1
448,Bibhitaki — Himalayan,Terminalia bellirica,Sweet,Cold,Sweet,Vata,All,Nepal,Anti-inflammatory,Arthritis,Bleeding disorders,Kwatha (decoction),Sweet,Oily,Cold,Sweet,Rejuvenating,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,-3,-2,3
449,Bibhitaki — Malabar,Terminalia bellirica,Bitter,Neutral,Sweet,All,Vata,Uttar Pradesh,Rejuvenative,Digestion,None,Kashaya (decoction),Bitter,Firm,Cold,Sweet,Rejuvenative,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-3,-2
450,Bibhitaki — Kashmir,Terminalia bellirica,Pungent,Neutral,Pungent,Vata,Pitta,India,Adaptogenic,Arthritis,Diarrhea,Swarasa (juice),Pungent,"Oily,Cloudy",Cold,Pungent,Demulcent,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-2,-1,0
451,Bibhitaki — Kerala,Terminalia bellirica,Sour,Neutral,Astringent,Pitta,Kapha,Karnataka,Galactagogue,Heart health,Bleeding disorders,Avaleha (jam),Sour,"Cloudy,Stable",Hot,Astringent,Galactagogue,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-2
452,Bibhitaki — Assam,Terminalia bellirica,Sweet,Warm,Sweet,Pitta,All,India,Expectorant,Digestion,Pitta excess,Avaleha (jam),Sweet,"Bland,Mobile,Oily",Hot,Sweet,Galactagogue,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-2,2
453,Yashtimadhu — Root,Glycyrrhiza glabra,Mixed,Neutral,Astringent,All,All,Karnataka,Adaptogenic,Female reproductive health,Bleeding disorders,Kashaya (decoction),Pungent,Cloudy,Cold,Astringent,Detoxifying,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,-2,-1,-3
454,Yashtimadhu — Leaf,Glycyrrhiza glabra,Pungent,Cold,Astringent,Pitta,All,Kerala,Diuretic,Female reproductive health,None,Vati (tablets),Pungent,"Sharp,Cold",Hot,Astringent,Nervine tonic,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,-3
455,Yashtimadhu — Stem,Glycyrrhiza glabra,Astringent,Cold,Astringent,Pitta,Kapha,Sri Lanka,Immunomodulatory,Liver disorders,Pitta excess,Kwatha (decoction),Astringent,"Light,Heavy,Sticky",Hot,Astringent,Carminative,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,-2,-2
456,Yashtimadhu — Bark,Glycyrrhiza glabra,Sour,Cold,Sweet,Kapha,All,Sri Lanka,Cardiotonic,Weight management,Pregnancy,Kwatha (decoction),Sour,"Stable,Subtle,Smooth",Cold,Sweet,Analgesic,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0
457,Yashtimadhu — Seed,Glycyrrhiza glabra,Pungent,Neutral,Sour,Pitta,All,Uttar Pradesh,Analgesic,Immunity,Pregnancy,Ghrita (ghee),Pungent,"Soft,Liquid",Cold,Sweet,Nervine tonic,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,-1,-1
458,Yashtimadhu — Fruit,Glycyrrhiza glabra,Pungent,Hot,Bitter,Pitta,Pitta,Himachal Pradesh,Digestive stimulant,Heart health,Pitta excess,Taila (oil),Pungent,"Oily,Firm,Liquid",Hot,Sweet,Demulcent,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2
459,Yashtimadhu — Flower,Glycyrrhiza glabra,Astringent,Cool,Sour,Kapha,Kapha,Rajasthan,Analgesic,Heart health,None,Kashaya (decoction),Astringent,"Cloudy,Dense,Heavy",Cold,Pungent,Analgesic,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,2,-2,0
460,Yashtimadhu — Resin,Glycyrrhiza glabra,Bitter,Cool,Astringent,Pitta,Kapha,West Bengal,Antimicrobial,Digestion,Cold constitution,Ghrita (ghee),Bitter,Light,Cold,Astringent,Aphrodisiac,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,-3,-2
461,Yashtimadhu — Latex,Glycyrrhiza glabra,Salty,Cold,Sweet,Kapha,All,Rajasthan,Hepatoprotective,Arthritis,Pitta excess,Ghrita (ghee),Salty,"Firm,Sticky,Stable",Hot,Sweet,Carminative,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,-1
462,Yashtimadhu — Wild,Glycyrrhiza glabra,Astringent,Neutral,Pungent,All,Kapha,Rajasthan,Expectorant,Hair care,Diarrhea,Kashaya (decoction),Astringent,"Stable,Mobile",Hot,Pungent,Nervine tonic,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,-2,-3
463,Yashtimadhu — Rural,Glycyrrhiza glabra,Astringent,Cold,Astringent,Pitta,Pitta,India,Expectorant,Skin diseases,Cold constitution,Churna (powder),Astringent,Clear,Cold,Astringent,Detoxifying,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,-3,0
464,Yashtimadhu — Mountain,Glycyrrhiza glabra,Sour,Hot,Sweet,Vata,Vata,Himachal Pradesh,Hepatoprotective,Hair care,Bleeding disorders,Kwatha (decoction),Sour,"Hot,Smooth,Bland",Hot,Sweet,Galactagogue,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,-1,3,0
465,Yashtimadhu — Coastal,Glycyrrhiza glabra,Salty,Cold,Sweet,Pitta,All,West Bengal,Anti-inflammatory,Weight management,Diarrhea,Kashaya (decoction),Salty,"Firm,Light",Hot,Sweet,Demulcent,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0
466,Yashtimadhu — Indian,Glycyrrhiza glabra,Salty,Cool,Sweet,Vata,All,Kerala,Anti-inflammatory,Heart health,Diarrhea,Taila (oil),Salty,Rough,Cold,Sweet,Galactagogue,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,2
467,Yashtimadhu — Himalayan,Glycyrrhiza glabra,Sour,Warm,Sweet,All,Pitta,Tamil Nadu,Immunomodulatory,Heart health,Bleeding disorders,Ghrita (ghee),Sour,"Bland,Clear",Cold,Sweet,Diaphoretic,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,-2,0
468,Yashtimadhu — Malabar,Glycyrrhiza glabra,Pungent,Neutral,Sour,Kapha,Kapha,Rajasthan,Antimicrobial,Respiratory support,Pitta excess,Avaleha (jam),Pungent,Dense,Hot,Pungent,Aphrodisiac,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,-3
469,Yashtimadhu — Kashmir,Glycyrrhiza glabra,Astringent,Neutral,Pungent,Pitta,Kapha,Sri Lanka,Immunomodulatory,Hair care,Diarrhea,Churna (powder),Astringent,"Smooth,Rough,Dry",Cold,Pungent,Rejuvenating,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,-3,-2
470,Yashtimadhu — Kerala,Glycyrrhiza glabra,Bitter,Cool,Bitter,All,All,Kerala,Galactagogue,Digestion,Diarrhea,Vati (tablets),Bitter,Liquid,Cold,Sweet,Detoxifying,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-3,-2
471,Yashtimadhu — Assam,Glycyrrhiza glabra,Bitter,Cool,Bitter,Kapha,Vata,India,Anti-inflammatory,Arthritis,Bleeding disorders,Kashaya (decoction),Bitter,"Sharp,Dry",Cold,Astringent,Rejuvenating,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,-1,-2
472,Pippali — Root,Piper longum,Sweet,Hot,Sweet,Kapha,Vata,Karnataka,Analgesic,Digestion,Bleeding disorders,Vati (tablets),Sweet,Smooth,Hot,Sweet,Rejuvenating,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,-3,0,-1
473,Pippali — Leaf,Piper longum,Mixed,Cool,Sweet,Kapha,Pitta,Nepal,Digestive stimulant,Weight management,None,Swarasa (juice),Astringent,Oily,Cold,Sweet,Nervine tonic,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,-3,-1
474,Pippali — Stem,Piper longum,Astringent,Cold,Sweet,Kapha,Vata,Tamil Nadu,Antimicrobial,Arthritis,Pregnancy,Swarasa (juice),Astringent,"Heavy,Oily",Hot,Sweet,Rejuvenative,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,-2
475,Pippali — Bark,Piper longum,Sour,Neutral,Sour,All,Kapha,Kerala,Galactagogue,Immunity,None,Kashaya (decoction),Sour,Rough,Cold,Astringent,Nervine tonic,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,0
476,Pippali — Seed,Piper longum,Pungent,Warm,Sour,All,All,Karnataka,Galactagogue,Weight management,Diarrhea,Avaleha (jam),Pungent,"Cold,Bland",Cold,Pungent,Detoxifying,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,-1,-1,-3
477,Pippali — Fruit,Piper longum,Bitter,Neutral,Astringent,Pitta,Vata,Tamil Nadu,Adaptogenic,Skin diseases,None,Vati (tablets),Bitter,"Rough,Cold,Mobile",Hot,Astringent,Aphrodisiac,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,-1,-2
478,Pippali — Flower,Piper longum,Salty,Cool,Astringent,Kapha,Vata,Tamil Nadu,Anti-inflammatory,Immunity,None,Swarasa (juice),Salty,"Cold,Hot",Cold,Astringent,Analgesic,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
479,Pippali — Resin,Piper longum,Mixed,Warm,Sweet,Pitta,Vata,Karnataka,Antimicrobial,Liver disorders,Cold constitution,Avaleha (jam),Sweet,"Heavy,Sharp",Hot,Sweet,Rejuvenating,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-3,-1,2
480,Pippali — Latex,Piper longum,Bitter,Hot,Sweet,Kapha,Vata,Nepal,Cardiotonic,"Stress, Anxiety",None,Churna (powder),Bitter,Cold,Hot,Sweet,Diaphoretic,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,-3
481,Pippali — Wild,Piper longum,Sweet,Cool,Bitter,Vata,Pitta,Nepal,Diuretic,Skin diseases,Diarrhea,Avaleha (jam),Sweet,"Bland,Heavy",Cold,Pungent,Rejuvenative,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-3,-3,3
482,Pippali — Rural,Piper longum,Pungent,Cold,Astringent,Kapha,Kapha,Assam,Hepatoprotective,Respiratory support,Bleeding disorders,Avaleha (jam),Pungent,Light,Hot,Astringent,Rejuvenating,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,3,-3
483,Pippali — Mountain,Piper longum,Sweet,Cool,Astringent,All,Vata,West Bengal,Adaptogenic,Arthritis,Diarrhea,Kashaya (decoction),Sweet,"Stable,Rough,Sticky",Cold,Astringent,Demulcent,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,-3,-3,2
484,Pippali — Coastal,Piper longum,Sour,Neutral,Pungent,All,Vata,Karnataka,Adaptogenic,Digestion,None,Swarasa (juice),Sour,Oily,Hot,Pungent,Carminative,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-1,0,-1
485,Pippali — Indian,Piper longum,Mixed,Neutral,Bitter,Kapha,All,West Bengal,Antimicrobial,Hair care,Cold constitution,Vati (tablets),Salty,Light,Hot,Astringent,Demulcent,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,-2
486,Pippali — Himalayan,Piper longum,Sweet,Warm,Sour,Pitta,All,West Bengal,Hepatoprotective,Female reproductive health,Pitta excess,Taila (oil),Sweet,Sticky,Cold,Pungent,Carminative,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,-1,-3,3
487,Pippali — Malabar,Piper longum,Salty,Cool,Sour,Pitta,Kapha,Himachal Pradesh,Adaptogenic,Female reproductive health,Pitta excess,Kwatha (decoction),Salty,"Light,Cold,Dry",Cold,Astringent,Rejuvenative,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,3,-2,0
488,Pippali — Kashmir,Piper longum,Sour,Cold,Sour,Pitta,Vata,Assam,Rejuvenative,Arthritis,None,Taila (oil),Sour,"Sharp,Stable",Cold,Astringent,Aphrodisiac,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,-1,-1,2
489,Pippali — Kerala,Piper longum,Mixed,Hot,Bitter,All,Pitta,Sri Lanka,Adaptogenic,Arthritis,Pitta excess,Vati (tablets),Pungent,"Cloudy,Mobile",Hot,Astringent,Rejuvenative,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,-1,1,-3
490,Pippali — Assam,Piper longum,Salty,Cool,Bitter,Vata,All,Nepal,Expectorant,Weight management,None,Avaleha (jam),Salty,"Clear,Light,Bland",Cold,Pungent,Demulcent,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2
491,Gokshura — Root,Tribulus terrestris,Sour,Hot,Astringent,Vata,Vata,Uttar Pradesh,Galactagogue,Hair care,Pitta excess,Vati (tablets),Sour,"Heavy,Subtle",Hot,Astringent,Demulcent,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,2,1
492,Gokshura — Leaf,Tribulus terrestris,Salty,Neutral,Sweet,All,Kapha,Himachal Pradesh,Immunomodulatory,Digestion,Pregnancy,Taila (oil),Salty,"Mobile,Oily,Dense",Hot,Sweet,Detoxifying,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
493,Gokshura — Stem,Tribulus terrestris,Pungent,Neutral,Sour,Pitta,All,West Bengal,Antimicrobial,Liver disorders,Diarrhea,Vati (tablets),Pungent,"Sticky,Liquid,Clear",Cold,Astringent,Galactagogue,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0
494,Gokshura — Bark,Tribulus terrestris,Sweet,Hot,Bitter,Vata,Kapha,Himachal Pradesh,Immunomodulatory,Respiratory support,Diarrhea,Vati (tablets),Sweet,"Bland,Oily,Mobile",Hot,Pungent,Analgesic,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,0,0
495,Gokshura — Seed,Tribulus terrestris,Sweet,Warm,Astringent,All,Pitta,India,Expectorant,"Stress, Anxiety",None,Kwatha (decoction),Sweet,"Clear,Hot",Hot,Astringent,Nervine tonic,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,-3,-1,-1
496,Gokshura — Fruit,Tribulus terrestris,Astringent,Cool,Astringent,Vata,Kapha,Kerala,Rejuvenative,Respiratory support,Pregnancy,Swarasa (juice),Astringent,Stable,Cold,Astringent,Carminative,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,-2
497,Gokshura — Flower,Tribulus terrestris,Salty,Hot,Pungent,Pitta,Pitta,India,Hepatoprotective,"Stress, Anxiety",Cold constitution,Avaleha (jam),Salty,Dry,Hot,Pungent,Rejuvenative,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
498,Gokshura — Resin,Tribulus terrestris,Astringent,Cold,Bitter,Pitta,Pitta,Sri Lanka,Galactagogue,Female reproductive health,None,Churna (powder),Astringent,"Sticky,Soft,Light",Hot,Astringent,Rejuvenating,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-2,-1
499,Gokshura — Latex,Tribulus terrestris,Salty,Neutral,Pungent,All,All,Himachal Pradesh,Anti-inflammatory,Arthritis,Bleeding disorders,Taila (oil),Salty,"Cloudy,Rough",Cold,Pungent,Galactagogue,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,-1,-1,0
500,Gokshura — Wild,Tribulus terrestris,Mixed,Hot,Sour,Vata,Pitta,West Bengal,Analgesic,Arthritis,None,Kwatha (decoction),Sweet,"Hot,Heavy",Hot,Astringent,Rejuvenative,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,-3,-1,2
501,Gokshura — Rural,Tribulus terrestris,Sweet,Cool,Sour,Kapha,All,Nepal,Antimicrobial,Weight management,Pregnancy,Swarasa (juice),Sweet,Cloudy,Cold,Sweet,Aphrodisiac,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-1,-2,1
502,Gokshura — Mountain,Tribulus terrestris,Sweet,Cool,Sour,Pitta,Kapha,Nepal,Cardiotonic,Respiratory support,Diarrhea,Vati (tablets),Sweet,Cold,Cold,Astringent,Rejuvenative,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-3,1
503,Gokshura — Coastal,Tribulus terrestris,Sweet,Hot,Pungent,Kapha,Vata,Karnataka,Analgesic,Skin diseases,Cold constitution,Avaleha (jam),Sweet,Cold,Hot,Pungent,Rejuvenative,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,-2,0,-1
504,Gokshura — Indian,Tribulus terrestris,Astringent,Neutral,Pungent,All,All,Karnataka,Expectorant,Hair care,Cold constitution,Vati (tablets),Astringent,Light,Cold,Pungent,Analgesic,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-3,-2
505,Gokshura — Himalayan,Tribulus terrestris,Sour,Cold,Bitter,Kapha,Pitta,Karnataka,Analgesic,Liver disorders,Cold constitution,Churna (powder),Sour,"Sticky,Hot",Hot,Pungent,Rejuvenative,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,-1
506,Gokshura — Malabar,Tribulus terrestris,Mixed,Warm,Sweet,All,Pitta,Uttar Pradesh,Antimicrobial,Heart health,Cold constitution,Kashaya (decoction),Sour,Firm,Cold,Sweet,Demulcent,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,-1,-2,0
507,Gokshura — Kashmir,Tribulus terrestris,Astringent,Cool,Bitter,All,All,Karnataka,Immunomodulatory,Weight management,Pregnancy,Ghrita (ghee),Astringent,Liquid,Cold,Astringent,Aphrodisiac,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,-3,-2
508,Gokshura — Kerala,Tribulus terrestris,Sweet,Hot,Astringent,Pitta,Kapha,Karnataka,Expectorant,Weight management,Diarrhea,Kashaya (decoction),Sweet,"Dense,Cloudy,Subtle",Hot,Astringent,Diaphoretic,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,-2,0
509,Gokshura — Assam,Tribulus terrestris,Sour,Neutral,Sweet,Vata,Kapha,India,Analgesic,Heart health,Pregnancy,Kashaya (decoction),Sour,Subtle,Hot,Sweet,Carminative,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,-2
510,Shankhapushpi — Root,Convolvulus pluricaulis,Sour,Cold,Bitter,Vata,Pitta,Rajasthan,Anti-inflammatory,Liver disorders,Pitta excess,Swarasa (juice),Sour,Firm,Hot,Sweet,Analgesic,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0
511,Shankhapushpi — Leaf,Convolvulus pluricaulis,Mixed,Hot,Bitter,Vata,Pitta,Uttar Pradesh,Rejuvenative,Weight management,Diarrhea,Swarasa (juice),Sweet,"Dense,Smooth",Hot,Sweet,Rejuvenating,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-3,-2,2
512,Shankhapushpi — Stem,Convolvulus pluricaulis,Mixed,Neutral,Bitter,Pitta,Pitta,Uttar Pradesh,Digestive stimulant,Digestion,Cold constitution,Swarasa (juice),Salty,Stable,Hot,Astringent,Aphrodisiac,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
513,Shankhapushpi — Bark,Convolvulus pluricaulis,Sour,Warm,Sour,Pitta,Kapha,Rajasthan,Adaptogenic,Weight management,Pitta excess,Kwatha (decoction),Sour,"Hot,Bland",Hot,Sweet,Demulcent,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,-2
514,Shankhapushpi — Seed,Convolvulus pluricaulis,Pungent,Cool,Sweet,Kapha,Pitta,Karnataka,Digestive stimulant,Skin diseases,Diarrhea,Swarasa (juice),Pungent,"Sticky,Dry,Subtle",Cold,Sweet,Aphrodisiac,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,-1,-2
515,Shankhapushpi — Fruit,Convolvulus pluricaulis,Mixed,Cold,Bitter,All,Pitta,Nepal,Galactagogue,Immunity,Diarrhea,Avaleha (jam),Salty,Sharp,Hot,Pungent,Diaphoretic,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,-2
516,Shankhapushpi — Flower,Convolvulus pluricaulis,Astringent,Cool,Sweet,Vata,All,India,Rejuvenative,Immunity,Diarrhea,Swarasa (juice),Astringent,Sharp,Cold,Sweet,Detoxifying,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,-1,0
517,Shankhapushpi — Resin,Convolvulus pluricaulis,Astringent,Cool,Astringent,Vata,Vata,Assam,Galactagogue,Hair care,Diarrhea,Swarasa (juice),Astringent,"Smooth,Hot,Sharp",Cold,Astringent,Galactagogue,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
518,Shankhapushpi — Latex,Convolvulus pluricaulis,Mixed,Hot,Sour,All,Pitta,Himachal Pradesh,Digestive stimulant,Liver disorders,Pitta excess,Swarasa (juice),Bitter,"Sticky,Dense,Bland",Hot,Sweet,Detoxifying,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,-2,-2
519,Shankhapushpi — Wild,Convolvulus pluricaulis,Mixed,Warm,Astringent,Pitta,All,West Bengal,Galactagogue,Digestion,Pregnancy,Kwatha (decoction),Sweet,Cold,Hot,Astringent,Galactagogue,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,-2,1
520,Shankhapushpi — Rural,Convolvulus pluricaulis,Salty,Cool,Sweet,Vata,Pitta,Assam,Expectorant,Digestion,None,Ghrita (ghee),Salty,Dry,Cold,Sweet,Detoxifying,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,-2,2
521,Shankhapushpi — Mountain,Convolvulus pluricaulis,Salty,Cold,Astringent,Pitta,Kapha,Tamil Nadu,Galactagogue,"Stress, Anxiety",Pitta excess,Kwatha (decoction),Salty,Light,Cold,Astringent,Nervine tonic,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,-2,0
522,Shankhapushpi — Coastal,Convolvulus pluricaulis,Sweet,Cold,Sweet,All,Kapha,Uttar Pradesh,Antimicrobial,Hair care,Pregnancy,Kwatha (decoction),Sweet,"Mobile,Hot,Soft",Hot,Sweet,Diaphoretic,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,-2,-1,-1
523,Shankhapushpi — Indian,Convolvulus pluricaulis,Bitter,Cold,Bitter,Vata,Pitta,Nepal,Digestive stimulant,Heart health,Diarrhea,Kashaya (decoction),Bitter,"Soft,Firm,Rough",Hot,Pungent,Galactagogue,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,-1,-2
524,Shankhapushpi — Himalayan,Convolvulus pluricaulis,Bitter,Hot,Astringent,Vata,All,Karnataka,Expectorant,Respiratory support,Bleeding disorders,Avaleha (jam),Bitter,"Clear,Sharp",Hot,Astringent,Nervine tonic,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,-2
525,Shankhapushpi — Malabar,Convolvulus pluricaulis,Bitter,Hot,Sweet,Kapha,Kapha,Rajasthan,Hepatoprotective,Female reproductive health,Bleeding disorders,Vati (tablets),Bitter,Rough,Hot,Sweet,Galactagogue,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,2,1,-3
526,Shankhapushpi — Kashmir,Convolvulus pluricaulis,Bitter,Neutral,Sour,Vata,Pitta,Assam,Analgesic,Arthritis,Diarrhea,Vati (tablets),Bitter,"Dense,Sharp",Hot,Sweet,Nervine tonic,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,-1,-1
527,Shankhapushpi — Kerala,Convolvulus pluricaulis,Astringent,Neutral,Bitter,Pitta,Vata,Tamil Nadu,Hepatoprotective,Respiratory support,Cold constitution,Avaleha (jam),Astringent,"Bland,Sticky",Hot,Sweet,Rejuvenating,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-2,-1
528,Shankhapushpi — Assam,Convolvulus pluricaulis,Sweet,Cool,Astringent,Pitta,Pitta,Rajasthan,Galactagogue,Respiratory support,Bleeding disorders,Taila (oil),Sweet,"Smooth,Heavy",Cold,Astringent,Rejuvenating,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-1,-3,3
529,Jatamansi — Root,Nardostachys jatamansi,Mixed,Hot,Astringent,Pitta,Pitta,Himachal Pradesh,Adaptogenic,Hair care,Pregnancy,Ghrita (ghee),Sour,"Clear,Liquid,Heavy",Hot,Astringent,Rejuvenative,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
